,Atoms,Step,Temp,PotEng,KinEng,Press,Volume,Density,TotEng,c_pern,c_kern
0,72.0,0.0,0.0,-8925.6882,0.0,16.558383,884736.0,0.001127116,-8925.6882,-8925.6882,0.0
1,72.0,0.0,0.0,-8961.3195,0.0,-53.860622,884736.0,0.001127116,-8961.3195,-8961.3195,0.0
2,72.0,0.0,0.0,-8885.0639,0.0,-86.611659,884736.0,0.001127116,-8885.0639,-8885.0639,0.0
3,72.0,0.0,0.0,-8870.4708,0.0,20.5412,884736.0,0.001127116,-8870.4708,-8870.4708,0.0
4,72.0,0.0,0.0,-8924.3465,0.0,-30.953018,884736.0,0.001127116,-8924.3465,-8924.3465,0.0
5,72.0,0.0,0.0,-8925.2031,0.0,-20.63479,884736.0,0.001127116,-8925.2031,-8925.2031,0.0
6,72.0,0.0,0.0,-8908.4298,0.0,-24.471439,884736.0,0.001127116,-8908.4298,-8908.4298,0.0
7,72.0,0.0,0.0,-8933.2503,0.0,-18.148168,884736.0,0.001127116,-8933.2503,-8933.2503,0.0
8,72.0,0.0,0.0,-8985.5865,0.0,-22.877029,884736.0,0.001127116,-8985.5865,-8985.5865,0.0
9,72.0,0.0,0.0,-8974.7821,0.0,-10.921203,884736.0,0.001127116,-8974.7821,-8974.7821,0.0
10,72.0,0.0,0.0,-8995.9702,0.0,-33.581653,884736.0,0.001127116,-8995.9702,-8995.9702,0.0
11,72.0,0.0,0.0,-8922.7667,0.0,-33.604897,884736.0,0.001127116,-8922.7667,-8922.7667,0.0
12,72.0,0.0,0.0,-8984.5639,0.0,-16.243875,884736.0,0.001127116,-8984.5639,-8984.5639,0.0
13,72.0,0.0,0.0,-8947.8042,0.0,-26.463342,884736.0,0.001127116,-8947.8042,-8947.8042,0.0
14,72.0,0.0,0.0,-8974.1824,0.0,-39.675172,884736.0,0.001127116,-8974.1824,-8974.1824,0.0
15,72.0,0.0,0.0,-8920.702,0.0,-69.879263,884736.0,0.001127116,-8920.702,-8920.702,0.0
16,72.0,0.0,0.0,-8994.4227,0.0,-16.21649,884736.0,0.001127116,-8994.4227,-8994.4227,0.0
17,72.0,0.0,0.0,-8923.0156,0.0,-16.593861,884736.0,0.001127116,-8923.0156,-8923.0156,0.0
18,72.0,0.0,0.0,-9001.6146,0.0,-23.125819,884736.0,0.001127116,-9001.6146,-9001.6146,0.0
19,72.0,0.0,0.0,-8889.2185,0.0,-14.742067,884736.0,0.001127116,-8889.2185,-8889.2185,0.0
20,72.0,0.0,0.0,-8925.9806,0.0,-32.266589,884736.0,0.001127116,-8925.9806,-8925.9806,0.0
21,72.0,0.0,0.0,-8908.7044,0.0,-9.9127809,884736.0,0.001127116,-8908.7044,-8908.7044,0.0
22,72.0,0.0,0.0,-8929.585,0.0,-70.804505,884736.0,0.001127116,-8929.585,-8929.585,0.0
23,72.0,0.0,0.0,-8902.458,0.0,-8.4704118,884736.0,0.001127116,-8902.458,-8902.458,0.0
24,72.0,0.0,0.0,-8946.7799,0.0,-38.728368,884736.0,0.001127116,-8946.7799,-8946.7799,0.0
25,72.0,0.0,0.0,-8949.0914,0.0,-2.9895421,884736.0,0.001127116,-8949.0914,-8949.0914,0.0
26,72.0,0.0,0.0,-8948.4604,0.0,-45.701371,884736.0,0.001127116,-8948.4604,-8948.4604,0.0
27,72.0,0.0,0.0,-8986.2163,0.0,-35.837577,884736.0,0.001127116,-8986.2163,-8986.2163,0.0
28,72.0,0.0,0.0,-8963.5814,0.0,8.1865507,884736.0,0.001127116,-8963.5814,-8963.5814,0.0
29,72.0,0.0,0.0,-8919.7894,0.0,-34.790999,884736.0,0.001127116,-8919.7894,-8919.7894,0.0
30,72.0,0.0,0.0,-8902.6229,0.0,-69.713538,884736.0,0.001127116,-8902.6229,-8902.6229,0.0
31,72.0,0.0,0.0,-8923.9202,0.0,-0.46969476,884736.0,0.001127116,-8923.9202,-8923.9202,0.0
32,72.0,0.0,0.0,-8949.7926,0.0,-5.1946879,884736.0,0.001127116,-8949.7926,-8949.7926,0.0
33,72.0,0.0,0.0,-8954.337,0.0,-53.896516,884736.0,0.001127116,-8954.337,-8954.337,0.0
34,72.0,0.0,0.0,-8954.7049,0.0,-5.9754059,884736.0,0.001127116,-8954.7049,-8954.7049,0.0
35,72.0,0.0,0.0,-8929.8935,0.0,-41.185189,884736.0,0.001127116,-8929.8935,-8929.8935,0.0
36,72.0,0.0,0.0,-8955.448,0.0,-49.184306,884736.0,0.001127116,-8955.448,-8955.448,0.0
37,72.0,0.0,0.0,-8968.3949,0.0,-27.419828,884736.0,0.001127116,-8968.3949,-8968.3949,0.0
38,72.0,0.0,0.0,-8971.9003,0.0,-22.40405,884736.0,0.001127116,-8971.9003,-8971.9003,0.0
39,72.0,0.0,0.0,-9003.3588,0.0,-35.752211,884736.0,0.001127116,-9003.3588,-9003.3588,0.0
40,72.0,0.0,0.0,-9032.103,0.0,-27.097975,884736.0,0.001127116,-9032.103,-9032.103,0.0
41,72.0,0.0,0.0,-8951.8682,0.0,-39.915526,884736.0,0.001127116,-8951.8682,-8951.8682,0.0
42,72.0,0.0,0.0,-8974.0841,0.0,3.5824232,884736.0,0.001127116,-8974.0841,-8974.0841,0.0
43,72.0,0.0,0.0,-8951.9151,0.0,-29.629135,884736.0,0.001127116,-8951.9151,-8951.9151,0.0
44,72.0,0.0,0.0,-8955.3244,0.0,-5.0402269,884736.0,0.001127116,-8955.3244,-8955.3244,0.0
45,72.0,0.0,0.0,-8931.4635,0.0,25.518038,884736.0,0.001127116,-8931.4635,-8931.4635,0.0
46,72.0,0.0,0.0,-8928.3435,0.0,-4.2359583,884736.0,0.001127116,-8928.3435,-8928.3435,0.0
47,72.0,0.0,0.0,-8935.3622,0.0,-22.123888,884736.0,0.001127116,-8935.3622,-8935.3622,0.0
48,72.0,0.0,0.0,-9005.2506,0.0,-57.069844,884736.0,0.001127116,-9005.2506,-9005.2506,0.0
49,72.0,0.0,0.0,-8964.0016,0.0,-49.515243,884736.0,0.001127116,-8964.0016,-8964.0016,0.0
50,72.0,0.0,0.0,-8959.8725,0.0,-46.640989,884736.0,0.001127116,-8959.8725,-8959.8725,0.0
51,72.0,0.0,0.0,-8971.1211,0.0,-25.665208,884736.0,0.001127116,-8971.1211,-8971.1211,0.0
52,72.0,0.0,0.0,-8975.1789,0.0,-28.165578,884736.0,0.001127116,-8975.1789,-8975.1789,0.0
53,72.0,0.0,0.0,-8914.5791,0.0,-41.953978,884736.0,0.001127116,-8914.5791,-8914.5791,0.0
54,72.0,0.0,0.0,-8974.9395,0.0,4.7190596,884736.0,0.001127116,-8974.9395,-8974.9395,0.0
55,72.0,0.0,0.0,-8975.4033,0.0,-38.822755,884736.0,0.001127116,-8975.4033,-8975.4033,0.0
56,72.0,0.0,0.0,-8907.2605,0.0,-15.196486,884736.0,0.001127116,-8907.2605,-8907.2605,0.0
57,72.0,0.0,0.0,-8909.0565,0.0,35.181239,884736.0,0.001127116,-8909.0565,-8909.0565,0.0
58,72.0,0.0,0.0,-8909.8957,0.0,-35.32794,884736.0,0.001127116,-8909.8957,-8909.8957,0.0
59,72.0,0.0,0.0,-8954.3131,0.0,-42.951146,884736.0,0.001127116,-8954.3131,-8954.3131,0.0
60,72.0,0.0,0.0,-8956.3815,0.0,-26.660919,884736.0,0.001127116,-8956.3815,-8956.3815,0.0
61,72.0,0.0,0.0,-8977.0493,0.0,8.657044,884736.0,0.001127116,-8977.0493,-8977.0493,0.0
62,72.0,0.0,0.0,-8883.819,0.0,-32.285773,884736.0,0.001127116,-8883.819,-8883.819,0.0
63,72.0,0.0,0.0,-8980.4507,0.0,25.913675,884736.0,0.001127116,-8980.4507,-8980.4507,0.0
64,72.0,0.0,0.0,-8895.4314,0.0,-34.215544,884736.0,0.001127116,-8895.4314,-8895.4314,0.0
65,72.0,0.0,0.0,-8968.6018,0.0,-19.430557,884736.0,0.001127116,-8968.6018,-8968.6018,0.0
66,72.0,0.0,0.0,-8958.6382,0.0,-68.634044,884736.0,0.001127116,-8958.6382,-8958.6382,0.0
67,72.0,0.0,0.0,-8938.7848,0.0,48.039281,884736.0,0.001127116,-8938.7848,-8938.7848,0.0
68,72.0,0.0,0.0,-8885.5499,0.0,-46.257523,884736.0,0.001127116,-8885.5499,-8885.5499,0.0
69,72.0,0.0,0.0,-8942.1952,0.0,-53.062984,884736.0,0.001127116,-8942.1952,-8942.1952,0.0
70,72.0,0.0,0.0,-8942.4297,0.0,-54.277425,884736.0,0.001127116,-8942.4297,-8942.4297,0.0
71,72.0,0.0,0.0,-8917.8194,0.0,-7.1726136,884736.0,0.001127116,-8917.8194,-8917.8194,0.0
72,72.0,0.0,0.0,-8912.1096,0.0,-18.615134,884736.0,0.001127116,-8912.1096,-8912.1096,0.0
73,72.0,0.0,0.0,-8943.5037,0.0,18.73288,884736.0,0.001127116,-8943.5037,-8943.5037,0.0
74,72.0,0.0,0.0,-8956.32,0.0,22.099426,884736.0,0.001127116,-8956.32,-8956.32,0.0
75,72.0,0.0,0.0,-8922.9819,0.0,-70.698236,884736.0,0.001127116,-8922.9819,-8922.9819,0.0
76,72.0,0.0,0.0,-8902.4894,0.0,-3.0124883,884736.0,0.001127116,-8902.4894,-8902.4894,0.0
77,72.0,0.0,0.0,-8964.5732,0.0,-41.367988,884736.0,0.001127116,-8964.5732,-8964.5732,0.0
78,72.0,0.0,0.0,-8941.3587,0.0,5.5570132,884736.0,0.001127116,-8941.3587,-8941.3587,0.0
79,72.0,0.0,0.0,-8892.0037,0.0,-31.201983,884736.0,0.001127116,-8892.0037,-8892.0037,0.0
80,72.0,0.0,0.0,-8923.6852,0.0,-58.589964,884736.0,0.001127116,-8923.6852,-8923.6852,0.0
81,72.0,0.0,0.0,-8953.2045,0.0,-29.488682,884736.0,0.001127116,-8953.2045,-8953.2045,0.0
82,72.0,0.0,0.0,-8905.665,0.0,-19.108649,884736.0,0.001127116,-8905.665,-8905.665,0.0
83,72.0,0.0,0.0,-8965.7721,0.0,3.3143472,884736.0,0.001127116,-8965.7721,-8965.7721,0.0
84,72.0,0.0,0.0,-8938.1643,0.0,9.8421215,884736.0,0.001127116,-8938.1643,-8938.1643,0.0
85,72.0,0.0,0.0,-8952.1006,0.0,-77.932396,884736.0,0.001127116,-8952.1006,-8952.1006,0.0
86,72.0,0.0,0.0,-8936.9521,0.0,-26.656461,884736.0,0.001127116,-8936.9521,-8936.9521,0.0
87,72.0,0.0,0.0,-8893.4348,0.0,-34.700759,884736.0,0.001127116,-8893.4348,-8893.4348,0.0
88,72.0,0.0,0.0,-8929.8378,0.0,-18.868411,884736.0,0.001127116,-8929.8378,-8929.8378,0.0
89,72.0,0.0,0.0,-8949.8373,0.0,-31.08809,884736.0,0.001127116,-8949.8373,-8949.8373,0.0
90,72.0,0.0,0.0,-8951.1155,0.0,-32.633631,884736.0,0.001127116,-8951.1155,-8951.1155,0.0
91,72.0,0.0,0.0,-8894.809,0.0,-41.254576,884736.0,0.001127116,-8894.809,-8894.809,0.0
92,72.0,0.0,0.0,-9015.4463,0.0,1.0195289,884736.0,0.001127116,-9015.4463,-9015.4463,0.0
93,72.0,0.0,0.0,-8992.6552,0.0,16.014538,884736.0,0.001127116,-8992.6552,-8992.6552,0.0
94,72.0,0.0,0.0,-8926.3291,0.0,0.12650163,884736.0,0.001127116,-8926.3291,-8926.3291,0.0
95,72.0,0.0,0.0,-8933.3239,0.0,-6.305043,884736.0,0.001127116,-8933.3239,-8933.3239,0.0
96,72.0,0.0,0.0,-8963.738,0.0,-46.013546,884736.0,0.001127116,-8963.738,-8963.738,0.0
97,72.0,0.0,0.0,-8953.1788,0.0,-40.155338,884736.0,0.001127116,-8953.1788,-8953.1788,0.0
98,72.0,0.0,0.0,-8953.9325,0.0,21.786658,884736.0,0.001127116,-8953.9325,-8953.9325,0.0
99,72.0,0.0,0.0,-8965.8496,0.0,-31.860094,884736.0,0.001127116,-8965.8496,-8965.8496,0.0
100,72.0,0.0,0.0,-8977.148,0.0,1.5914894,884736.0,0.001127116,-8977.148,-8977.148,0.0
101,72.0,0.0,0.0,-8931.7157,0.0,-53.011633,884736.0,0.001127116,-8931.7157,-8931.7157,0.0
102,72.0,0.0,0.0,-8997.9564,0.0,-44.874058,884736.0,0.001127116,-8997.9564,-8997.9564,0.0
103,72.0,0.0,0.0,-8996.337,0.0,-50.63088,884736.0,0.001127116,-8996.337,-8996.337,0.0
104,72.0,0.0,0.0,-8927.4174,0.0,-19.178627,884736.0,0.001127116,-8927.4174,-8927.4174,0.0
105,72.0,0.0,0.0,-8937.0251,0.0,1.3030607,884736.0,0.001127116,-8937.0251,-8937.0251,0.0
106,72.0,0.0,0.0,-8953.4896,0.0,-19.057709,884736.0,0.001127116,-8953.4896,-8953.4896,0.0
107,72.0,0.0,0.0,-8947.0357,0.0,-16.473137,884736.0,0.001127116,-8947.0357,-8947.0357,0.0
108,72.0,0.0,0.0,-8914.3323,0.0,-15.742239,884736.0,0.001127116,-8914.3323,-8914.3323,0.0
109,72.0,0.0,0.0,-8991.4236,0.0,-42.601039,884736.0,0.001127116,-8991.4236,-8991.4236,0.0
110,72.0,0.0,0.0,-8971.4045,0.0,-43.867244,884736.0,0.001127116,-8971.4045,-8971.4045,0.0
111,72.0,0.0,0.0,-8962.3961,0.0,-15.858047,884736.0,0.001127116,-8962.3961,-8962.3961,0.0
112,72.0,0.0,0.0,-8959.7163,0.0,-28.565678,884736.0,0.001127116,-8959.7163,-8959.7163,0.0
113,72.0,0.0,0.0,-8921.4469,0.0,-26.583176,884736.0,0.001127116,-8921.4469,-8921.4469,0.0
114,72.0,0.0,0.0,-8893.2225,0.0,-35.93823,884736.0,0.001127116,-8893.2225,-8893.2225,0.0
115,72.0,0.0,0.0,-8927.8673,0.0,-63.207377,884736.0,0.001127116,-8927.8673,-8927.8673,0.0
116,72.0,0.0,0.0,-9001.6404,0.0,-25.153438,884736.0,0.001127116,-9001.6404,-9001.6404,0.0
117,72.0,0.0,0.0,-8955.9988,0.0,-58.875978,884736.0,0.001127116,-8955.9988,-8955.9988,0.0
118,72.0,0.0,0.0,-8933.2703,0.0,-41.941556,884736.0,0.001127116,-8933.2703,-8933.2703,0.0
119,72.0,0.0,0.0,-8939.5313,0.0,-45.414854,884736.0,0.001127116,-8939.5313,-8939.5313,0.0
120,72.0,0.0,0.0,-8927.2924,0.0,49.922034,884736.0,0.001127116,-8927.2924,-8927.2924,0.0
121,72.0,0.0,0.0,-8989.6038,0.0,-17.382593,884736.0,0.001127116,-8989.6038,-8989.6038,0.0
122,72.0,0.0,0.0,-8978.5079,0.0,-53.925618,884736.0,0.001127116,-8978.5079,-8978.5079,0.0
123,72.0,0.0,0.0,-8993.0528,0.0,-50.883038,884736.0,0.001127116,-8993.0528,-8993.0528,0.0
124,72.0,0.0,0.0,-8904.7509,0.0,-90.63334,884736.0,0.001127116,-8904.7509,-8904.7509,0.0
125,72.0,0.0,0.0,-8904.7943,0.0,-12.591898,884736.0,0.001127116,-8904.7943,-8904.7943,0.0
126,72.0,0.0,0.0,-9013.4158,0.0,-80.960157,884736.0,0.001127116,-9013.4158,-9013.4158,0.0
127,72.0,0.0,0.0,-8919.9776,0.0,-33.817676,884736.0,0.001127116,-8919.9776,-8919.9776,0.0
128,72.0,0.0,0.0,-8962.3864,0.0,16.274413,884736.0,0.001127116,-8962.3864,-8962.3864,0.0
129,72.0,0.0,0.0,-8928.1477,0.0,20.041583,884736.0,0.001127116,-8928.1477,-8928.1477,0.0
130,72.0,0.0,0.0,-8943.731,0.0,-80.466691,884736.0,0.001127116,-8943.731,-8943.731,0.0
131,72.0,0.0,0.0,-8988.3403,0.0,-23.707243,884736.0,0.001127116,-8988.3403,-8988.3403,0.0
132,72.0,0.0,0.0,-8959.7265,0.0,-13.236995,884736.0,0.001127116,-8959.7265,-8959.7265,0.0
133,72.0,0.0,0.0,-8949.5446,0.0,-4.7476461,884736.0,0.001127116,-8949.5446,-8949.5446,0.0
134,72.0,0.0,0.0,-8988.7829,0.0,-37.994883,884736.0,0.001127116,-8988.7829,-8988.7829,0.0
135,72.0,0.0,0.0,-8899.4662,0.0,-34.15226,884736.0,0.001127116,-8899.4662,-8899.4662,0.0
136,72.0,0.0,0.0,-8928.441,0.0,-15.040314,884736.0,0.001127116,-8928.441,-8928.441,0.0
137,72.0,0.0,0.0,-8927.9241,0.0,-32.211488,884736.0,0.001127116,-8927.9241,-8927.9241,0.0
138,72.0,0.0,0.0,-8970.182,0.0,14.37038,884736.0,0.001127116,-8970.182,-8970.182,0.0
139,72.0,0.0,0.0,-8931.7716,0.0,-15.793334,884736.0,0.001127116,-8931.7716,-8931.7716,0.0
140,72.0,0.0,0.0,-8905.3832,0.0,-10.434226,884736.0,0.001127116,-8905.3832,-8905.3832,0.0
141,72.0,0.0,0.0,-8936.4296,0.0,-14.757092,884736.0,0.001127116,-8936.4296,-8936.4296,0.0
142,72.0,0.0,0.0,-8979.3508,0.0,9.2339382,884736.0,0.001127116,-8979.3508,-8979.3508,0.0
143,72.0,0.0,0.0,-9019.9885,0.0,-45.07805,884736.0,0.001127116,-9019.9885,-9019.9885,0.0
144,72.0,0.0,0.0,-8931.5367,0.0,-48.793226,884736.0,0.001127116,-8931.5367,-8931.5367,0.0
145,72.0,0.0,0.0,-8907.7225,0.0,-18.228491,884736.0,0.001127116,-8907.7225,-8907.7225,0.0
146,72.0,0.0,0.0,-8942.7475,0.0,-63.724037,884736.0,0.001127116,-8942.7475,-8942.7475,0.0
147,72.0,0.0,0.0,-8880.2079,0.0,-31.208351,884736.0,0.001127116,-8880.2079,-8880.2079,0.0
148,72.0,0.0,0.0,-8872.9142,0.0,-32.736456,884736.0,0.001127116,-8872.9142,-8872.9142,0.0
149,72.0,0.0,0.0,-8961.6206,0.0,-47.926928,884736.0,0.001127116,-8961.6206,-8961.6206,0.0
150,72.0,0.0,0.0,-8951.0357,0.0,13.528657,884736.0,0.001127116,-8951.0357,-8951.0357,0.0
151,72.0,0.0,0.0,-8961.339,0.0,-0.38151703,884736.0,0.001127116,-8961.339,-8961.339,0.0
152,72.0,0.0,0.0,-8950.0022,0.0,13.787661,884736.0,0.001127116,-8950.0022,-8950.0022,0.0
153,72.0,0.0,0.0,-8953.5977,0.0,3.2031804,884736.0,0.001127116,-8953.5977,-8953.5977,0.0
154,72.0,0.0,0.0,-8893.6471,0.0,-18.202883,884736.0,0.001127116,-8893.6471,-8893.6471,0.0
155,72.0,0.0,0.0,-8886.9922,0.0,-104.87464,884736.0,0.001127116,-8886.9922,-8886.9922,0.0
156,72.0,0.0,0.0,-8948.3853,0.0,-22.91028,884736.0,0.001127116,-8948.3853,-8948.3853,0.0
157,72.0,0.0,0.0,-8979.1505,0.0,-20.055985,884736.0,0.001127116,-8979.1505,-8979.1505,0.0
158,72.0,0.0,0.0,-8931.0344,0.0,-8.250523,884736.0,0.001127116,-8931.0344,-8931.0344,0.0
159,72.0,0.0,0.0,-8938.545,0.0,16.943095,884736.0,0.001127116,-8938.545,-8938.545,0.0
160,72.0,0.0,0.0,-8974.6506,0.0,2.4498421,884736.0,0.001127116,-8974.6506,-8974.6506,0.0
161,72.0,0.0,0.0,-8956.0763,0.0,-50.984069,884736.0,0.001127116,-8956.0763,-8956.0763,0.0
162,72.0,0.0,0.0,-8996.4808,0.0,-4.925712,884736.0,0.001127116,-8996.4808,-8996.4808,0.0
163,72.0,0.0,0.0,-8988.8429,0.0,4.1805035,884736.0,0.001127116,-8988.8429,-8988.8429,0.0
164,72.0,0.0,0.0,-9025.6428,0.0,5.1523755,884736.0,0.001127116,-9025.6428,-9025.6428,0.0
165,72.0,0.0,0.0,-8998.7901,0.0,-35.405805,884736.0,0.001127116,-8998.7901,-8998.7901,0.0
166,72.0,0.0,0.0,-9046.0395,0.0,-28.24357,884736.0,0.001127116,-9046.0395,-9046.0395,0.0
167,72.0,0.0,0.0,-9017.5613,0.0,-44.474123,884736.0,0.001127116,-9017.5613,-9017.5613,0.0
168,72.0,0.0,0.0,-8962.5419,0.0,-59.551334,884736.0,0.001127116,-8962.5419,-8962.5419,0.0
169,72.0,0.0,0.0,-8983.302,0.0,-30.207588,884736.0,0.001127116,-8983.302,-8983.302,0.0
170,72.0,0.0,0.0,-8897.7665,0.0,-53.390861,884736.0,0.001127116,-8897.7665,-8897.7665,0.0
171,72.0,0.0,0.0,-8989.4346,0.0,-56.059676,884736.0,0.001127116,-8989.4346,-8989.4346,0.0
172,72.0,0.0,0.0,-8963.4957,0.0,-41.978641,884736.0,0.001127116,-8963.4957,-8963.4957,0.0
173,72.0,0.0,0.0,-8919.502,0.0,-9.5460366,884736.0,0.001127116,-8919.502,-8919.502,0.0
174,72.0,0.0,0.0,-8967.8149,0.0,-7.3949528,884736.0,0.001127116,-8967.8149,-8967.8149,0.0
175,72.0,0.0,0.0,-8944.5575,0.0,-42.188941,884736.0,0.001127116,-8944.5575,-8944.5575,0.0
176,72.0,0.0,0.0,-8922.8365,0.0,-1.9518417,884736.0,0.001127116,-8922.8365,-8922.8365,0.0
177,72.0,0.0,0.0,-8952.0793,0.0,5.6205128,884736.0,0.001127116,-8952.0793,-8952.0793,0.0
178,72.0,0.0,0.0,-8924.2526,0.0,-7.7827595,884736.0,0.001127116,-8924.2526,-8924.2526,0.0
179,72.0,0.0,0.0,-8886.5663,0.0,12.962931,884736.0,0.001127116,-8886.5663,-8886.5663,0.0
180,72.0,0.0,0.0,-8984.0861,0.0,-41.125118,884736.0,0.001127116,-8984.0861,-8984.0861,0.0
181,72.0,0.0,0.0,-8913.0455,0.0,-12.106529,884736.0,0.001127116,-8913.0455,-8913.0455,0.0
182,72.0,0.0,0.0,-8906.1692,0.0,-0.52424285,884736.0,0.001127116,-8906.1692,-8906.1692,0.0
183,72.0,0.0,0.0,-8911.7667,0.0,-10.585461,884736.0,0.001127116,-8911.7667,-8911.7667,0.0
184,72.0,0.0,0.0,-9020.2764,0.0,-19.31371,884736.0,0.001127116,-9020.2764,-9020.2764,0.0
185,72.0,0.0,0.0,-8975.5931,0.0,15.78321,884736.0,0.001127116,-8975.5931,-8975.5931,0.0
186,72.0,0.0,0.0,-8943.1213,0.0,15.047127,884736.0,0.001127116,-8943.1213,-8943.1213,0.0
187,72.0,0.0,0.0,-8952.1678,0.0,29.878993,884736.0,0.001127116,-8952.1678,-8952.1678,0.0
188,72.0,0.0,0.0,-8979.6783,0.0,21.126036,884736.0,0.001127116,-8979.6783,-8979.6783,0.0
189,72.0,0.0,0.0,-8962.2249,0.0,-27.224447,884736.0,0.001127116,-8962.2249,-8962.2249,0.0
190,72.0,0.0,0.0,-8960.423,0.0,-47.334818,884736.0,0.001127116,-8960.423,-8960.423,0.0
191,72.0,0.0,0.0,-8972.6147,0.0,-26.356479,884736.0,0.001127116,-8972.6147,-8972.6147,0.0
192,72.0,0.0,0.0,-8967.6932,0.0,-35.104133,884736.0,0.001127116,-8967.6932,-8967.6932,0.0
193,72.0,0.0,0.0,-8978.693,0.0,-29.9733,884736.0,0.001127116,-8978.693,-8978.693,0.0
194,72.0,0.0,0.0,-8933.4809,0.0,-18.308316,884736.0,0.001127116,-8933.4809,-8933.4809,0.0
195,72.0,0.0,0.0,-8982.3171,0.0,9.3350477,884736.0,0.001127116,-8982.3171,-8982.3171,0.0
196,72.0,0.0,0.0,-8964.7698,0.0,-18.050258,884736.0,0.001127116,-8964.7698,-8964.7698,0.0
197,72.0,0.0,0.0,-8925.4799,0.0,-76.565049,884736.0,0.001127116,-8925.4799,-8925.4799,0.0
198,72.0,0.0,0.0,-9026.9917,0.0,-12.627893,884736.0,0.001127116,-9026.9917,-9026.9917,0.0
199,72.0,0.0,0.0,-8965.5617,0.0,-9.9709485,884736.0,0.001127116,-8965.5617,-8965.5617,0.0
200,36.0,0.0,0.0,-4499.3406,0.0,2.1434377,884736.0,0.00056355801,-4499.3406,-4499.3406,0.0
201,36.0,0.0,0.0,-4479.7872,0.0,-22.031595,884736.0,0.00056355801,-4479.7872,-4479.7872,0.0
